livro,Capítulo,Verso inicial,Verso final,Obra,Capítulo,Tipo de Referência,Citação,
Lucas,3,1,1,Momentos de Harmonia, 14 – O tempo,Indireta,"O tempo demonstrou que o triunfo de Herodes, de Anás, de Caifás, de Pilatos, contra Jesus, foi uma ilusão de breves momentos",
Lucas,3,1,1,Momentos de iluminação, 12 – Ante a insatisfação,Indireta,"A insatisfação de Pilatos, entediado, manteve-o indiferente, lavando as mãos quando ao destino do Justo",
Lucas,3,1,2,Segue em Harmonia,3 – Aferição de valores,Indireta,"Escolheste Jesus e não Pilatos ou Anás, ou Caifás, embora por alguém tempo houvesses optado por Barrabás...",
Lucas,3,1,6,Ilumina-te, 1 - Em pleno deserto,Indireta,"Antecipando o ministério de Jesus, João buscou a solidão do deserto...",
Lucas,3,2,2,Fonte de Luz, 14 - Viver com paciência,Indireta,"Jesus fez-se o modelo da paciência. Pôncio Pilatos, o da covardia; Anás e Caifás, o da pusilanimidade...",
Lucas,3,2,2,Momentos de Harmonia, 14 – O tempo,Indireta,"O tempo demonstrou que o triunfo de Herodes, de Anás, de Caifás, de Pilatos, contra Jesus, foi uma ilusão de breves momentos",
Lucas,3,2,2,Momentos de iluminação, 12 – Ante a insatisfação,Indireta,A insatisfação de Anás e de Caifás gerou neles a inveja e o ódio contra Jesus.,
Lucas,3,17,17,Jesus e o Evangelho à luz da Psicologia...,10 - A paciência,Direta,"Pacientemente aceitou a observação do Batista que O testificou após o fenômeno da Voz espiritual que se fez ouvida, informando ser este o Filho dileto, em que me agrado, confirmando a independência entre o Pai o Descendente. ",
Lucas,4,1,13,Luz nas Trevas, 6 - Benção do silêncio,Indireta,"Sempre que a multidão insaciável afligia o Mestre, ele buscava o deserto, renovando as forças para prosseguir. E foi lá, no grande silêncio, que viveu as tentações.",
Lucas,4,1,13,Tesouros Libertadores,6- Lições Libertadoras,Indireta,Ele foi testado de variadas formas,
Lucas,4,1,13,Momentos de meditação,  1 – Recorre à meditação,Direta sem indexação no NT,"E Jesus, durante os quarenta dias de jejum, manteve-se em ligação com o Pai, prenunciando o testemunho do Getsemane",
Lucas,4,2,2,Ilumina-te,20 - Cidadania universal,Indireta,"Enquanto esteve discretamente no Seu ofício em Nazaré, ninguém lhe conferia valor, importância...",
Lucas,4,15,15,Tesouros Libertadores,6 - Lições Libertadoras,Indireta,"Honrou as sinagogas e o Templo, levou-lhes a palavra libertodora enfocada na Justiça Divina (...)",
Lucas,4,18,18,Entrega-te a Deus, 11 - Viver com alegria,Indireta,"O Espírito do Senhor está sobre mim, porquanto ...",
Lucas,4,31,37,Otimismo,7 - Recursos desobsessivos,Direta sem indexação no NT,,
Lucas,4,33,36,Vida plena,28 – Quem eram eles?,Direta sem indexação no NT,,
Lucas,4,35,35,Oferenda,Autoridade e dever,Epígrafe,,
Lucas,5,1,2,Vidas Vazias,2 - Rei Triunfante,Indireta,"Avançando das praias do lago de Genesaré, ou mar da Galileia, região pobre e desprezada por muitos judeus, atravessava o deserto escaldante e as montanhas, alcançando o Sinédrio formal e hipócrita e abalando-lhe as estruturas frágeis.",
Lucas,5,11,32,Dimensões da Veradde,13 - Socorro espiritual,Indireta,,
Lucas,5,13,13,Dimensões da Veradde,36 - Passes,Epígrafe,,
Lucas,5,16,16,Lições para a Felicidade,20 - Silêncio interior,Indireta,,
Lucas,5,16,16,Tesouros Libertadores,25 - A dádiva do silêncio,Indireta,"Ele [Jesus] fugia da balburdia e refugiava-se no silêncio, a fim de permanecer em sintonia com Deus",
Lucas ,5,17,26,Jesus e Atualidade,18 - Jesus e sofrimentos,Indireta,No espisódio do paralítico descido pelo telhado ,
Lucas,6,1,5,Tesouros Libertadores,6 - Lições Libertadoras,Indireta,"Jamais se permitiu qualquer desobediência, e, se trabalhou no sábado, violando o estabelecido código do repouso nesse dia, é porque o sábado foi feito para o homem servir e não para sua inação.",
Lucas,6,6,11,Nascente de Bênçãos,10 - Cirurgias Espirituais,Indireta,,
Lucas,6,12,12,Luz nas Trevas,16 - Libertação,Indireta,"Sempre que atendia as multidões famélicas de pão, de saúde e de amor, Jesus buscava a solidão para não se afastar da união com Deus, entregando-se-Lhe em dulcificadora oração.",
Lucas,6,12,12,Momentos de esperança,   2 – Meditação,Indireta,"Jesus, a cada passo, buscava o silêncio da Natureza... para meditar, logo entregando-se à prece",
Lucas,6,12,12,Momentos de esperança, 12 – Ação mediúnica,Indireta,"Jesus... buscava após a ação caridosa, a oração e o silêncio...",
Lucas,6,12,12,Momentos de Harmonia, 19 – Notoriedade,Indireta,"Mesmo Jesus, sempre operava os admiráveis fenômenos de socorro à multidão, fugia-lhes do convívio, a fim de ficar a sós com Deus...",
Lucas,6,12,12,Momentos de Renovação,   27 – Comando íntimo,Indireta,Mesmo Jesus... recolhia-se ao silêncio e à oração para ouvir o Pai...,
Lucas,6,12,12,Momentos de Sublimação,   27 – Recurso da oração,Indireta,Jesus deu-nos o exemplo do valor e do significado da oração.,
Lucas,6,12,13,Segue em Harmonia,14 – Ouve a tua consciência,Indireta,"Jesus, que o Guia da Humanidade, sempre buscava a solidão para reabastecer a consciência...",
Lucas,6,16,16,O amor como solução,16 - Acasos e providências,Indireta,Não foi por acaso que Jesus escolheu Judas como Seu discípulo...,
Lucas,6,16,16,Vidas Vazias,4 - Conquista a tua paz,Indireta,"Sabendo que seria traído por um amigo e por outro negado, não demonstrou contrariedade nem decepção.",
Lucas,6,17,36,O Ser Consciente,1 - A Quarta Força,Direta sem indexação no NT,"""...estatuído no Decálogo e Sermão do Monte.""",
Lucas,6,17,49,Momentos de Sublimação, 30 – Sublimidade do amor,Indireta,A grande saga de Jesus em Seu Evangelho é o poema de Amor que Ele cantou e viveu...,
Lucas,6,17,49,O amor como solução, 19 - Simplicidade e pureza de coração,Direta sem indexação no NT,O Sermão da Montanha é o ápice dos seus discursos...,
Lucas,6,17,49,Segue em Harmonia,15 – Sabedoria e amor,Indireta,Jesus ofereceu as respostas conforme inseridas no Sermão da Montanha...’,
Lucas,6,20,26,Luz Viva, 22 - Humildade Real,Direta sem indexação no NT,,
Lucas,6,24,26,Lampadário Espírita,     51 – Vivência evangélica,Direta sem indexação no NT,(...) buscou a oração para o seu enfrentamento com amor e perdão.,
Lucas,6,27,35, Momentos de Alegria, 8 – Retribuir com o bem,Indireta,Não foi por outra razão que Jesus recomendou se fizesse todo o bem àquele que se compraz na prática do mal,
Lucas,6,27,35, Momentos de Alegria, 8 – Retribuir com o bem,Indireta,"Ele retornou, esplendente de beleza e amor, para retribuir com o bem todo o mal que Lhe pretenderam fazer",
Lucas,6,28,28,Convites da Vida,26 - Convite à Gratidão,Epígrafe,,
Lucas,6,29,29,Sementeira da Fraternidade, 35 – A outra face,Indireta,"... E Jesus apresentou, também, Ele mesmo, a outra face, não se permitindo o revide...",
Lucas,6,29,29,Sol de Esperança,10 - Todos Irmãos,Direta sem indexação no NT,"""Dar a capa a quem pede a manta."" ... Unicamente pela prática da caridade, o homem se realiza, lobrigando a plenitude do amor com Ele a todos nos ama. ",
Lucas,6,31,31,Convites da Vida,4 - Convite ao Bem,Epígrafe,,
Lucas,6,31,31,Sol de Esperança,10 - Todos irmãos,Direta sem indexação no NT,"""Fazer ao próximo o que se desejar que ele lhe faça"".  Só na vivência do reto dever para com seu irmão, o homem se integra na família da fraternidade universal.",
Lucas,6,31,31,Florações Evangélicas,40 - Uma paga de amor,Epígrafe,,
Lucas,6,31,31,Jesus e o Evangelho à luz da Psicologia...,14 - Egoísmo,Epígrafe,,
Lucas,6,36,36,Jesus e o Evangelho à luz da Psicologia...,16 - O Ódio,Epígrafe,,
Lucas,6,43,43,Jesus e o Evangelho à luz da Psicologia...,28 - Mediunidade,Epígrafe,,
Lucas,6,45,45,Convites da Vida,19 - Convite ao Estudo,Epígrafe,,
Lucas,6,45,45,Convites da Vida,35 - Convite à Palavra,Epígrafe,,
Lucas,6,45,45,Lampadário Espírita, 40 - Ante o dever,Direta sem indexação no NT,"“de que está cheio o coração""",
Lucas ,7,13,15,Jesus e Atualidade,4 - Jesus e Amor,Indireta,...a mãe enlutada...,
Lucas,7,18,19,Lampadário Espírita,20 – Árdua ascensão,Indireta,,
Lucas,7,36,36,Entrega-te a Deus,29 - O tormento do esgoismo,Indireta,A honraria foi maior para aquela que lhe beijou os pés...,
Lucas,7,36,36,Luz Viva,16 - Dificuldades e Impedimentos,Indireta,Jesus aceitou o repasto na casa rica do fariseu,
Lucas,7,36,39,Seja Feliz Hoje,28 - Jesus e as mulheres,Indireta,,
Lucas,7,36,50,Espírito e Vida,14 - Compromisso significativo,Indireta,"João, o Batista, embora O soubesse o Messias, enviou dois discípulos a indagarem",
Lucas,7,36,50,Espírito e Vida,23 - Tesouros de amor,Indireta,,
Lucas ,7,47,47,Jesus e Atualidade,15 - Jesus e Tormentos,Indireta,Ela muito amou e por isso seus ,
Lucas,7,47,47,Lampadário Espírita,45 - Deveres de agora,Direta sem indexação no NT,"Por muito amares, os teus pecados te serão perdoados",
Lucas,7,47,48,Dias Gloriosos,18 - Regressão de memória,Direta sem indexação no NT,,
Lucas,7,47,48,Garimpo de Amor,27 - Amor e produtividade,Indireta,,
Lucas,7,50,50,Florações Evangélicas,19 - Examinando a serenidade,Epígrafe,,
Lucas,8,2,2,Alerta,9 - Palavra e Jesus,Indireta,,
Lucas,8,2,2,Jesus e Vida,25 - Heroísmo Verdadeiro,Indireta,,
Lucas,8,2,2,Em Busca da Verdade,5 - Conviver e ser; cair em si,Indireta,,
Lucas,8,2,2,Entrega-te a Deus,6- Com alta significação,Indireta,... não recusou o devotamento de uma ex-obsessa do sexo desvairado nem a gentileza do rude cobrador de impostos...,
Lucas,8,2,2,Momentos de Felicidade, 9 – Jesus e a barca,Indireta,"Uma mulher equivocada sentiu-o; um jovem rico, viu-o e seus destinos se assinalaram de forma diversa",
Lucas,8,2,2,Momentos de Saúde e Consciência ,8 – Carma e Consciência,Indireta,"Enquanto na ignorância, Maria de Magdala, com a consciência adormecida, vivia em promiscuidade moral. Ao defrontar Jesus, despertou...
 Judas Iscariotes, consciente da missão do Mestre, intoxicou-se pelos vapores da ambição descabida, e, despertando depois, ao enforcar-se...",
Lucas,8,2,2,Lições para a Felicidade,2 - Instinto e inteligência,,,
Lucas,8,2,3,Momentos enriquecedores,4 -Necessário despertar ,Indireta,"Maceradora foi a conduta da equivocada de Magdala, ao adotar as lições do Mestre como regra de iluminação íntima, que conseguiu a duras penas...",
Lucas,8,4,8,Jesus e Atualidade,9 - Jesus e Alegria,Indireta,E sa a smear frernidade.,
Lucas,8,13,13,Florações Evangélicas,14 - Provação redentora,Epígrafe,,
Lucas,8,16,16,Jesus e Atualidade,1 - Jesus e Desafios,Indireta,Sê tu aquele que acende a lâmpada e clareia as sombras,
Lucas,8,21,21,Luz Viva,  30 -Laços Eternos,Direta sem indexação no NT,"- Quem é minha mãe, quem são meus irmãos, senão aqueles que fazem a vontade do Pai?!",
Lucas,8,22,25,Filho de Deus,10 -O  Teu Cristo ,Indireta,,
Lucas,8,22,25,Momentos de Felicidade, 9 – Jesus e a barca, Indireta,"... Ele entrou na barca, perto-longe da multidão... Ele passou para outro lugar",
Lucas,8,28,28,Fonte de Luz, 5 - Afliçoes reais,Direta sem indexação no NT,"O obsesso de Gadara, quando viu o Mestre, exclamou, desesperado: Jesus, filho de Deus Altíssimo!",
Lucas,8,43,48,Libertação do Sofrimento,5 - Curas aparentes e curas reais,Indireta,,
Lucas,9,12,17,Luz Viva,16 - Dificuldades e Impedimentos,Indireta,"Ao saber, após a pregação, que a massa que O ouvira tinha fome, não apresentou nenhuma dificuldade ou impedimento algum para todos alimentar, mas repartiu pães e peixes que, não obstante a farta distribuição, excedeu aos que os necessitavam.",
Lucas,9,12,17,Filho de Deus,10 - O Teu Cristo,Indireta,,
Lucas,9,22,22,Vidas Vazias,20 - Esforço contínuo,Indireta,Jesus sabia de tudo quanto Lhe aconteceria durante a convivência com os seres humanos em Sua jornada.,
Lucas,9,23,23,Lampadário Espírita, 59 – Ainda a melancolia,Direta sem indexação no NT,,
Lucas,9,23,23,Luz Viva,6 - Religião e Preconceitos,Direta sem indexação no NT,"Tinha poderes para modificar a etapa final e trágica do Seu messianato. Todavia, optou por obedecer a todos os impositivos da crueldade humana, a fim de ensinar-nos, pelo exemplo, a perseverar no dever até o momento final.",
Lucas,9,23,23,Luz nas Trevas,12 - Obstáculos desafiadores,Indireta,,
Lucas,9,23,23,Tesouros Libertadores,2 - Ante a espada e a cruz,Direta sem indexação no NT,Esforça-te para fazeres o mesmo.,
Lucas,9,23,23,O Homem Integral ,3 - A Busca da realidade,Indireta,"O ""negar-se a si mesmo"" do evangelho...",
Lucas,9,29,29,Desperte e Seja Feliz,27 - Orações solicitadas,Indireta,,
Lucas,9,29,29,Vida Feliz,CLXXVI,Indireta,,
Lucas,9,29,30,Lampadário Espírita,   27 – Em permanente sintonia,Indireta,"Jesus galgou o acume do Tabor para orar demoradamente por uma noite inteira, a fim de resplandecer alvinitente na madrugada de ouro diante dos vultos venerandos da raça na qual se apresentou na carne!",
Lucas,9,39,39,Dimensões da Veradde,4 - Médiuns em tormento,Direta sem indexação no NT,,
Lucas,9,58,58,Plenitude,7 - Motivos de Sofrimentos,Indireta,"""...embora as aves dos céus, as serntes e as feras tvessem ninhos e covis"".",
Lucas,9,58,58,Plenitude,8 - Caminhos para a saúde,Indireta,Jesus não tinha uma pedra para recinar a cabeça..,
Lucas,9,60,60,Florações Evangélicas,25 - Velórios,Epígrafe,,
Lucas,9,60,60,Jesus e Atualidade,11 -Jesus e Decisão,Direta sem indexação no NT,"""Deixa aos mortos..",
Lucas,9,62,62,Florações Evangélicas,47 - Marco divisório,Epígrafe,,
Lucas,9,62,62,Oferenda,O problema da renúncia,Epígrafe,,
Lucas,10,1,1,Entrega-te a Deus,6 - Com alta significação,Indireta,... acionou mais setenta para que levassem...,
Lucas,10,1,9,Tesouros Libertadores,29 - Brilhe a tua luz,Direta sem indexação no NT,"Jesus mandou que alguns dos seus discípulos fossem pelos caminhos, dois a dois, e anunciassem a hora nova, com poderes superiores aos que já possuiam. ",
Lucas,10,1,24,Luz nas Trevas,2 - Responsabilidade Espiritual,Indireta,"Quando Jesus enviou os Setenta da Galileia para que Lhe preparassem o caminho, concedeu-lhes a faculdade de curar, de afastar os Espíritos perversos e de enfrentar as dificuldades sob a Sua proteção.",
Lucas,10,2,2,Convites da Vida,53 - Convite à Sementeira,Epígrafe,,
Lucas,10,2,2,Roteiro de Libertação,Atua em paz,Direta sem indexação no NT,,
Lucas,10,7,7,Florações Evangélicas,4 - Obreiros da vida,Epígrafe,,
Lucas,10,7,7,Libertação pelo Amor,12 - Empresas,Direta sem indexação no NT,,
Lucas,10,7,7,Seja Feliz Hoje,10 - Júbilos e êxitos,Direta sem indexação no NT,,
Lucas,10,20,20,Florações Evangélicas,11 - Com regozijo,Epígrafe,,
Lucas,10,25,27,Rejubila-te em Deus, 13 – Parábolas e símbolos,Indireta,Como expressar em profundidade excepcional a lição do bom samaritano...,
Lucas,10,25,37,Atitudes Renovadas,25 - As bênçãos do altruísmo,Direta sem indexação no NT,,
Lucas,10,25,37,Momentos de iluminação,  20 – Firmeza do Amor,Indireta,"Jesus, ensinando libertação plena, estabeleceu no amor a Deus e ao próximo a condição única e poderosa para o homem ser feliz",
Lucas,10,25,37,Rejubila-te em Deus,   11 – Peregrino do Senhor,Indireta,... do bom samaritano...,
Lucas,10,25,25,Espírito e Vida,´32 - Considerando a parábola do bom samaritano,Direta com indexação do NT,,
Lucas,10,25,37,Jesus e Atualidade,4 - Jesus e Amor,Indireta,"Por amor, elegeu um samaritano desprezado, para dele fazer o símbolo da solidariedade.",
Lucas,10,25,37,Jesus e Atualidade,10 - Jesus e Coragem,Indireta,Elegeu um samaritano como exemplo,
Lucas,10,25,37,Libertação pelo Amor,17 - Sublime ação,Indireta,,
Lucas,10,25,37,Tesouros Libertadores,29 - Brilhe a tua luz,Direta sem indexação no NT,"Avança pelas trilhas inolvidáveis da mensagem do bom samaritano, e demonstra como o amor é amplo... ",
Lucas,10,29,29,Jesus e Atualidade,12 - Jesus e Revolução,Indireta,O sacerdote que Lhe indagava...,
Lucas,10,33,37,Ilumina-te,25 - Simplicidade e pureza de coração,Indireta,"(...)sementes, das virgens loucas e das prudentes, do bom samaritano na riqueza das parábolas do semeador e das, do filho pródigo, da figueira infrutífera, das redes e dos peixes, das dracmas, do banquete de núpcias...",
Lucas,10,33,37,Ilumina-te,15 - A Sublime canção,Indireta,"(...) o sofrimento da ovelha perdida e do seu pastor, a angústia da mulher que também perdeu uma dracma, o padecimento do genitor abandonado pelo filho ingrato e o seu arrependimento, a generosidade do homem de Samaria que encontrou o judeu caído e deixado na estrada, a ansiedade das virgens loucas e a tranquilidade das prudentes, o desgosto do rico perdulário e a harmonia do pobre Lázaro...",
Lucas,10,37,37,"Amor, Imbatível Amor",23 - Necessidade de objetivo,Direta sem indexação no NT,,
Lucas,10,37,37,Dimensões da Veradde,29 - Produze tu,Direta sem indexação no NT,,
Lucas,10,37,37,Oferenda,Sê alguêm. Faze o mesmo,Direta sem indexação no NT,,
Lucas,10,37,37,Jesus e o Evangelho à luz da Psicologia...,21 - Luz da caridade,Epígrafe,,
Lucas,10,38,42,Seja Feliz Hoje,8 - O modo de ser feliz,Indireta,,
Lucas,10,38,42,Seja Feliz Hoje,28 - Jesus e as mulheres,Indireta,,
Lucas,10,41,42,Tesouros Libertadores,24 - Solidariedade Fraternal,Indireta,"Este é o momento de fazeres a tua parte, aquela que nunca te será tirada. ",
Lucas,10,42,42,Jesus e Atualidade,19 - Jesus e Ingratidão,Indireta,uma só coisa é necessária,
Lucas,10,42,42,Tesouros Libertadores,20 - A força do amor,Direta sem indexação no NT,"(...) alguns anônimos ... eles elegeram a melhor parte, a melhor conduta, aquela que lhe não será tirada, conforme as anotações evangélicas.",
Lucas,10,42,42,tesouros Libertadores,26 - Escolhas,Direta sem indexação no NT,"Escolhe, portanto, a melhor parte, aquela que não te será tirada, conforme o ensino evangélico",
Lucas,10,42,42,Vitória Sobre a Depressão,15 - Viver com alegria,Direta sem indexação no NT,,
Lucas,11,1,1,Convites da Vida,31 - Convite à Oração,Epígrafe,,
Lucas,11,9,9,Lampadário Espírita, 59 – Ainda a melancolia,Direta sem indexação no NT,Buscai e achareis,
Lucas,11,24,26,"Encontro com a Paz e a Saúde",6 - Transtornos mentais e obsessivos,Epígrafe,,
Lucas,11,26,26,Luz nas Trevas,16 - Libertação,Indireta,"O Evangelho refere que o Espírito imundo abandona a casa onde se encontrava e vai, depois retorna (para examinar a hospedagem antiga), e se a encontra suja (nas condições anteriores), busca sete outros que passam a habitá-la com ele.",
Lucas,11,34,34,Plenitude,8 - Caminhos para a saúde,Indireta,"Jesus afirmou ""O teu olho é aluz do teu corpo...",
Lucas,12,12,12,Diretrizes para o êxito,35 - Ante julgamentos,Direta,,
Lucas,12,14,14,Atitudes Renovadas,12 - Sistemática ignorância,Direta sem indexação no NT,,
Lucas,12,14,14,Rumos Libertadores,26 - Sem condenação,Direta sem indexação no NT,,
Lucas,12,20,20,Jesus e o Evangelho à luz da Psicologia...,23 - A avareza,Epígrafe,,
Lucas,12,21,22,O amor como solução,4 - Valores eloquentes,Indireta,"Compreendeu os ricos terrenos, por saber que eram infinitamente pobres de valores...",
Lucas,12,24,24,Luz nas Trevas,24 - Vícios pertubadores,Indireta,"A Sua sensibilidade propôs o exame de um lírio do campo na sua expressão mágica, assim como das aves dos céus que vivem sob a proteção de Deus. Examinou um grão de mostarda e deu-lhe significado profundo no que diz respeito à fé, à confiança que se deve ter em relação à Vida espiritual e ao comportamento saudável na trajetória carnal.",
Lucas,12,27,27,Convites da Vida,54 - Convite à Simplicidade,Epígrafe,,
Lucas,12,27,27,Luz nas Trevas,24 - Vícios pertubadores,Indireta,"A Sua sensibilidade propôs o exame de um lírio do campo na sua expressão mágica, assim como das aves dos céus que vivem sob a proteção de Deus. Examinou um grão de mostarda e deu-lhe significado profundo no que diz respeito à fé, à confiança que se deve ter em relação à Vida espiritual e ao comportamento saudável na trajetória carnal.",
Lucas ,12,31,31,Vidas Vazias,15 - Intervenções Espirituais,Direta sem indexação no NT,"Por diversas razões, ""busca primeiro o Reino de Deus e Sua Justiça, e tudo mais te será acrescentado"", conforme propôs Jesus, porquanto no ""mundo somente terás aflições"", em razão da transitoriedade da própria existência orgânica e das conjunturas de que se constitui.",
Lucas,12,33,33,Florações Evangélicas,48 - Bens verdadeiros,Direta sem indexação no NT,,
Lucas,12,34,34,Florações Evangélicas,49 - Valores e posses,Epígrafe,,
Lucas,12,34,34,Tesouros Libertadores,Prefácio ,Indireta,"Os tesouros libertadores estão diante de todos, aguardando ser aplicados nos relacionamentos, utilizados na autotransformação, e se apresentam em incontáveis maneiras de viver e de os possuir. ",
Lucas,12,48,48,Fonte de Luz,30- Mais se pedirá,Indireta,"Muito se pedirá àquele a quem muito foi dado, disse com sabedoria Jesus.",
Lucas,12,48,48,Iluminação Interior,18 - Complexidade dos sofrimentos,Indireta,,
Lucas ,12,48,48,Luz nas Trevas,10 - Sou jovem,Direta sem indexação no NT,"A quem muito foi dado, muito será pedido – é impositivo das Divinas Leis.",
Lucas ,12,48,48,Vitória Sobre a Depressão,16 - Fugas pela culpa,Direta sem indexação no NT,,
Lucas,13,18,19,Lampadário Espírita,40 - Ante o dever,Indireta,"... considerou modesto ""grão de mostarda"",",
Lucas,13,18,19,Luz nas Trevas,1 - Uso da palavra,Indireta,"Tomou de um grão de mostarda insignificante, e transformou-o num poema de singeleza, num hino de referência à fé.",
Lucas,14,11,11,Convites da Vida,36 - Convite à Parcimônia,Epígrafe,,
Lucas,14,12,15,Jesus e Vida,18 - Banquete de liuz,Direta,,
Lucas,14,27,27,Luz nas Trevas,12 - Obstáculos desafiadores,Indireta,"Elegidas a dedicação e a confiança n’Ele, os Seus seguidores fizeram florescer os madeiros de infâmia e iluminaram a noite moral como fogueiras vivas.",
Lucas,14,27,27,Jesus e o Evangelho à luz da Psicologia...,31 - Cruzes,Epígrafe,,
Lucas,14,30,30,Desperte e Seja Feliz,13 - Edificações duradouras,Direta,,
Lucas,14,33,33,Convites da Vida,50 - Convite à Renúncia,Epígrafe,,
Lucas,15,2,2,Atitudes Renovadas,2 - Enfermos da alma,Indireta,,
Lucas,15,3,7,Em Busca da Verdade,3 - Encontro e autoencontro ; amar para ser feliz,Indireta,,
Lucas,15,3,7,Em Busca da Verdade,5 - Conviver e ser ; a coragem de prosseguir em qualquer circunstância,Indireta,,
Lucas,15,3,7,No Limiar do Infinito,4 - Reencarnação,Indireta,,
Lucas,15,4,4,Rejubila-te em Deus, 11 – Peregrino do Senhor,Indireta,... e das ovelhas...,
Lucas,15,4,6,Ilumina-te,15 - A Sublime canção,Indireta,"(...) o sofrimento da ovelha perdida e do seu pastor, a angústia da mulher que também perdeu uma dracma, o padecimento do genitor abandonado pelo filho ingrato e o seu arrependimento, a generosidade do homem de Samaria que encontrou o judeu caído e deixado na estrada, a ansiedade das virgens loucas e a tranquilidade das prudentes, o desgosto do rico perdulário e a harmonia do pobre Lázaro...",
Lucas,15,4,10,Em Busca da Verdade,5 - Conviver e ser,Direta sem indexação no NT,,
Lucas,15,8,8,Entrega-te a Deus,27 - As bençãos da alegria,Indireta,Seja qual for a situação em se encontre a ovelha desgarrada ou a dracma perdida...,
Lucas,15,8,8,Ilumina-te, 15 - A Sublime canção,Indireta,"(...) o sofrimento da ovelha perdida e do seu pastor, a angústia da mulher que também perdeu uma dracma, o padecimento do genitor abandonado pelo filho ingrato e o seu arrependimento, a generosidade do homem de Samaria que encontrou o judeu caído e deixado na estrada, a ansiedade das virgens loucas e a tranquilidade das prudentes, o desgosto do rico perdulário e a harmonia do pobre Lázaro...",
Lucas,15,8,8,Ilumina-te,25 - Simplicidade e pureza de coração,Direta sem indexação no NT,"(...)sementes, das virgens loucas e das prudentes, do bom samaritano na riqueza das parábolas do semeador e das, do filho pródigo, da figueira infrutífera, das redes e dos peixes, das dracmas, do banquete de núpcias...",
Lucas,15,8,8,Rejubila-te em Deus, 11 – Peregrino do Senhor,Direta sem indexação no NT,... das dracmas...,
Lucas,15,8,8,Rejubila-te em Deus, 13 – Parábolas e símbolos,Direta sem indexação no NT,"(...) semelhantes aos do filho pródigo, que foge do lar atraído pela ilusão do prazer....",
Lucas,15,8,10,Em Busca da Verdade,3 - Encontro e autoencontro ; amar para ser feliz,Indireta,,
Lucas,15,8,10,Lampadário Espírita,40 - Ante o dever,Direta sem indexação no NT,"... humilde dracma perdida,",
Lucas,15,8,10,Momentos de Harmonia,  7 – Companhia perturbadora,Direta sem indexação no NT,"Jesus referiu-se à fé do tamanho de um grão de mostarda, à alegria pelo reencontro de uma insignificante dracma que estava perdida...",
Lucas,15,11,11,Rejubila-te em Deus,11 – Peregrino do Senhor,Direta sem indexação no NT,... do filho pródigo...,
Lucas,15,11,11,Rejubila-te em Deus,13 – Parábolas e símbolos,Direta sem indexação no NT,"O pastor que vai em busca da ovelha extraviada, assim como a mulher que procura a dracma perdida...",
Lucas,15,11,32,Em Busca da Verdade,2 - Fragmentações morais,Direta sem indexação no NT,,
Lucas,15,11,32,Em Busca da Verdade,3 - Encontro e autoencontro,Indireta,,
Lucas,15,11,32,Em Busca da Verdade,4 - Experiências de iluminação,Indireta,,
Lucas,15,11,32,Em Busca da Verdade,5 - Conviver e ser,Indireta,,
Lucas,15,11,32,Entrega-te a Deus,27 - As bençãos da alegria,Indireta,"Pode-se compará-lo ao filho ingrato da parábola, que solicitou...",
Lucas,15,11,32,Ilumina-te,15 - A Sublime canção,Direta sem indexação do NT,"(...) o sofrimento da ovelha perdida e do seu pastor, a angústia da mulher que também perdeu uma dracma, o padecimento do genitor abandonado pelo filho ingrato e o seu arrependimento, a generosidade do homem de Samaria que encontrou o judeu caído e deixado na estrada, a ansiedade das virgens loucas e a tranquilidade das prudentes, o desgosto do rico perdulário e a harmonia do pobre Lázaro...",
Lucas ,15,11,32,Jesus e Atualidade,4 - Jesus e Amor,Direta sem indexação do NT,...o filho pródigo...,
Lucas ,15,11,32,Vitória Sobre a Depressão,21 - O retorno do filho pródigo,Direta sem indexação do NT,,
Lucas ,15,11,32,Senas Luminosas,23 - O mundo e Jesus,Indireta,,
Lucas,15,35,35,Convites da Vida,55 - Convite à Solidariedade,Epígrafe,,
Lucas,16,1,13,Rejubila-te em Deus,13 – Parábolas e símbolos,Direta sem indexação do NT,Um homem tinha dois devedores...,
Lucas,16,2,2,Dimensões da Veradde,30 - Antes da desencarnação,Direta com  indexação do NT,,
Lucas,16,9,9,Momentos de Felicidade, 16 – Balizas delimitadoras,Indireta,"Granjeia amigos com as riquezas da injustiça, propôs jesus",
Lucas,16,13,13,Convites da Vida,10 - Convite à Decisão,Epígrafe,,
Lucas,16,13,13,Jesus e o Evangelho à luz da Psicologia...,22 - Propriedade,Epígrafe,,
Lucas,16,19,31,Ilumina-te,15 - A Sublime canção,Direta sem indexação do NT,"(...) o sofrimento da ovelha perdida e do seu pastor, a angústia da mulher que também perdeu uma dracma, o padecimento do genitor abandonado pelo filho ingrato e o seu arrependimento, a generosidade do homem de Samaria que encontrou o judeu caído e deixado na estrada, a ansiedade das virgens loucas e a tranquilidade das prudentes, o desgosto do rico perdulário e a harmonia do pobre Lázaro...",
Lucas,17,1,1,Jesus e Vida,13- Turbulências,Indireta,,
Lucas,17,1,1,"Encontro com a Paz e a Saúde",5 - Relacionamentos afetivos angustiantes,Epígrafe,,
